observation,location,herd.type,impala.type,foraging,vigilant,all.other
C8,wits.facility,territorial,female,30,7,1
C7,wits.facility,territorial,female,53,3,1
C7,wits.facility,territorial,female,31,23,0
C7,wits.facility,territorial,female,51,4,2
C7,wits.facility,territorial,female,52,4,1
C7,wits.facility,territorial,female,41,9,7
C7,wits.facility,territorial,female,54,2,1
C6,wits.facility,territorial,female,7,12,0
C6,wits.facility,territorial,female,0,19,0
C6,wits.facility,territorial,female,0,9,2
C6,wits.facility,territorial,female,1,8,2
C4,wits.facility,territorial,female,43,16,5
C4,wits.facility,territorial,female,47,14,3
C4,wits.facility,territorial,female,52,8,4
C4,wits.facility,territorial,female,12,40,1
C4,wits.facility,territorial,female,51,6,1
B3,wits.facility,territorial,female,6,0,1
B3,wits.facility,territorial,female,4,0,1
B3,wits.facility,territorial,female,1,1,0
B3,wits.facility,territorial,female,8,0,0
B3,wits.facility,territorial,female,2,5,1
B2,wits.facility,territorial,female,8,4,1
B2,wits.facility,territorial,female,6,4,2
B1,wits.facility,territorial,female,18,0,0
B1,wits.facility,territorial,female,11,5,0
B1,wits.facility,territorial,female,30,4,4
B1,wits.facility,territorial,female,16,0,0
C3,wits.facility,territorial,female,7,28,1
C3,wits.facility,territorial,female,31,3,2
C3,wits.facility,territorial,female,28,8,0
C3,wits.facility,territorial,female,22,9,5
C3,wits.facility,territorial,female,26,4,1
C3,wits.facility,territorial,female,24,6,5
C3,wits.facility,territorial,female,13,2,5
C2,wits.facility,territorial,female,1,1,54
C2,wits.facility,territorial,female,0,55,5
C2,wits.facility,territorial,female,0,31,10
C2,wits.facility,territorial,female,4,35,5
C2,wits.facility,territorial,female,0,10,48
C2,wits.facility,territorial,female,0,0,60
C2,wits.facility,territorial,female,1,7,47
C2,wits.facility,territorial,female,0,13,47
C2,wits.facility,territorial,female,2,5,14
C2,wits.facility,territorial,female,1,46,13
C2,wits.facility,territorial,female,58,1,0
C2,wits.facility,territorial,female,0,10,5
C1,wits.facility,territorial,female,11,40,9
C1,wits.facility,territorial,female,1,51,7
C1,wits.facility,territorial,female,0,51,9
C1,wits.facility,territorial,female,0,52,5
C1,wits.facility,territorial,female,7,49,4
C1,wits.facility,territorial,female,1,53,6
C1,wits.facility,territorial,female,12,38,10
C1,wits.facility,territorial,female,1,20,0
C1,wits.facility,territorial,female,4,56,0
C8,wits.facility,territorial,male,0,32,6
C7,wits.facility,territorial,male,54,2,1
C6,wits.facility,territorial,male,13,6,0
C4,wits.facility,territorial,male,36,4,2
B1,wits.facility,territorial,male,2,37,0
C3,wits.facility,territorial,male,0,24,0
C2,wits.facility,territorial,male,1,39,20
C1,wits.facility,territorial,male,1,50,9
C8,wits.facility,territorial,juvenile,8,28,0
C8,wits.facility,territorial,juvenile,20,16,0
C8,wits.facility,territorial,juvenile,15,14,7
C8,wits.facility,territorial,juvenile,19,16,1
C7,wits.facility,territorial,juvenile,21,3,33
C6,wits.facility,territorial,juvenile,4,12,3
C6,wits.facility,territorial,juvenile,10,8,1
C4,wits.facility,territorial,juvenile,25,10,19
C4,wits.facility,territorial,juvenile,21,22,4
B3,wits.facility,territorial,juvenile,5,2,1
B2,wits.facility,territorial,juvenile,3,9,1
B2,wits.facility,territorial,juvenile,10,3,0
B2,wits.facility,territorial,juvenile,3,9,0
B2,wits.facility,territorial,juvenile,8,2,2
B1,wits.facility,territorial,juvenile,14,11,2
B1,wits.facility,territorial,juvenile,6,10,1
B1,wits.facility,territorial,juvenile,17,8,1
B1,wits.facility,territorial,juvenile,15,6,4
